문장,유형,극성,시제,확실성,label
그 이유는 뭘까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 산모랑 신생아는요? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
그렇다면 국회의원은 지역구의 민원 창구라는 말일까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 환자 입장에서 편의효과나 안전성 등은 어떤가요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
""" 앞으로 마약 유통 계획이 어떻게 되나요? ＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
병원내장 수술을 받았더라도 방사선 치료를 받을 만큼 특별한 상황이었다는 사실을 입증되지 못하면 3천억 이상의 보험금을 주기 어려울것으로 예상된다.,예측형,부정,미래,불확실,예측형-부정-미래-불확실
길죽한 쌀과 끓여놓은 밥이 비슷할 수조차 없지않나.,대화형,부정,현재,불확실,대화형-부정-현재-불확실
＂ 확진된 사람들은증과 혈류가 재사용이 되는가?!,대화형,미정,미래,불확실,대화형-미정-미래-불확실
혈액 조사기란 무엇인가?＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"숙박 O2O ( Online to Off 버전 ) 플랫폼의 1, 2위 야놀자, 요기요는? M은 작년에도 인수당했지?",예측형,미정,미래,불확실,예측형-미정-미래-불확실
"금요일 밤 30일은 밤부터 태풍이 많다 시간이 흐려져 낮에 그 사이 진주의 진주 진주, 강원 중남의 내륙, 전남 진주의 진주, 전남 진주, 등 지방에 지진이 오는 이유가 있다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
""" 엄마 "" 나 신생아 관리는 어떤가여? ＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
남자랑 결혼가 될 수 있을까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂성동구청과 성동경찰서를 옮겨 왕십리광장과 왕십리역 일대에 비즈니스 타운을 조성할 계획입니다.＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
또 어찌 부인이 해야 할 일이 아니라 하여 책 출판할 듯.,대화형,부정,과거,불확실,대화형-부정-과거-불확실
"무모한 돈키즈인가, 용감한 영웅인가.",대화형,미정,현재,불확실,대화형-미정-현재-불확실
신종 코로나바이러스 감염증(우한 폐렴)을 처리하고 내수를 정상화해야 하는 중국이 미국과 약속한 2000억달러(약 231조원) 규모의 추가 구매를 제대로 이행하기는 어려울 것으로 보인다.,예측형,부정,미래,불확실,예측형-부정-미래-불확실
패스트푸드는 앞으로 어떻게 될까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
지금 그들이 그곳을 생각한다면 힘들지요.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
그래서 1호♡ 숭례문 현판은 언제왔나요?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
"한국의 비즈니스, 사회, 종교 중 어느 쪽이 제일 문제인가.",대화형,미정,현재,불확실,대화형-미정-현재-불확실
그래서 조사기란은.?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
남자와 여자가 친구가 없을 수가 있나?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
한일 관광산업이 직면한 세계환경을 한일 협력에서 찾아보는 것은 어떨까?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂ 노인일자리 증가를 비판하는 게 지겹지도 않더냐? ＂,대화형,부정,현재,불확실,대화형-부정-현재-불확실
과연 공주와 단종의 유복자는 관노의 삶을 살았을까.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
"역사적인 30일은 전국에 땅도 많고 밤부터 시간이 기다려져 일어나. 새벽부터 그 사이 서울, 경기 남부, 강원 중, 남부 내륙, 충청권 전남, 전남 동부, 진주지방등, 경상지역지역에 소나기이 오는 곳이 있겠다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
뭐가문제일까요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
도대체 서울 · 수도권 여러 지역 중 눈여겨볼 있는 곳이 어디일까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"과연 우리는 한국의 민족, 일본, 국가는 어느 이상으로 가까울까?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
마약 유통 공룡들은 어떤 새로운 작품을 준비하고 있을까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
근데 느낌이 다르네요.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"하지만, 뇌가 신경 가소성 존재할까?",대화형,미정,미래,불확실,대화형-미정-미래-불확실
"금요일인 17일은 전국에 구름이 많고 밤부터 차차 흐려지겠으며, 낮부터 밤 사이 서울과 경기 남부, 강원 중·남부 내륙, 충청권 내륙, 전북 동부, 전남 북부 내륙, 경상 서부 내륙에 소나기가 오는 곳이 있겠다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
"과연 지금 한국의 기업. 사회, 국가는 어느 쪽이 가까울까요.",대화형,미정,현재,불확실,대화형-미정-현재-불확실
바다에서는 서해상을 중심으로 화산과 함께 천둥 · 번개가 맞는 곳이 있겠다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
사업을 가지고 있으면 위만 누르는게 당연하다고 믿으세요?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
"JYP O2O, Online toulin ) A 업계 1, 2위 야놀자, 변요한? 이는 이미 일본에 인수 합병했음.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
폭탄테러 작전이었다지만 전쟁을 선포할 만큼의 긴박한 일이었을까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
이달 24일부터 21일이지 스페인 호텔에서 열리는 세계 최대 모바일 업체인 모바일 베트콩그레이 ( 넷플릭스 ) 에 참가하는 국내 아이돌도 줄어들 전망이다.,예측형,부정,현재,불확실,예측형-부정-현재-불확실
그렇다면 양군은 형편없는 겁쟁이였을까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
그곳에도 골목은 있을까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
